Selected;lon;lat;parasit_yes;parasit
CZ04_15;17.070593;48.852692;1;14,6
CZ04_16;17.070593;48.852692;1;14,6
CZ04_19;17.070593;48.852692;1;14,6
CZ04_21_c;17.070593;48.852692;1;14,6
CZ04_32;17.070593;48.852692;1;14,6
DE03_DG102010;6.100000;51.233333;1;14,5
DE03_DG102013;6.100000;51.233333;1;14,5
DE03_DG102014;6.100000;51.233333;1;14,5
DE03_DG102015;6.100000;51.233333;1;14,5
DE03_DG102017;6.100000;51.233333;1;14,5
DE03_DG102019;6.100000;51.233333;1;14,5
DE03_DG102021;6.100000;51.233333;1;14,5
DE03_DG102022;6.100000;51.233333;1;14,5
DE03_DG102023;6.100000;51.233333;1;14,5
DE03_DG102025;6.100000;51.233333;1;14,5
DE03_MH103001;10.847465;49.663874;1;8,3
DE03_MH103002;10.847465;49.663874;1;8,3
DE03_MH103012;10.847465;49.663874;1;8,3
DE03_MH103016;10.847465;49.663874;1;8,3
DE03_MH103017;10.847465;49.663874;1;8,3
DE03_MH103032;10.847465;49.663874;1;8,3
DE03_MH103033;10.847465;49.663874;1;8,3
DE03_MH103034;10.847465;49.663874;1;8,3
DE03_MH103035;10.847465;49.663874;1;8,3
DK04_110002;12.120345;55.971545;1;8,1
DK04_110003;12.120345;55.971545;1;8,1
DK04_110004;12.120345;55.971545;1;8,1
DK04_110017;12.120345;55.971545;1;8,1
DK04_110019;12.120345;55.971545;1;8,1
DK04_110022;12.120345;55.971545;1;8,1
DK04_110025;12.120345;55.971545;1;8,1
DK04_110026;12.120345;55.971545;1;8,1
DK04_110033;12.120345;55.971545;1;8,1
EE19_CB86701;24.533106;58.384923;0;0,0
EE19_CB86702;24.533106;58.384923;0;0,0
EE19_CB86703;24.533106;58.384923;0;0,0
EE19_CB86704;24.533106;58.384923;0;0,0
EE19_CB86705;24.533106;58.384923;0;0,0
EE19_CB86707;24.533106;58.384923;0;0,0
EE19_CB86708;24.533106;58.384923;0;0,0
EE19_CB86710;24.533106;58.384923;0;0,0
EE19_CB86711;24.533106;58.384923;0;0,0
EE19_CB86712;24.533106;58.384923;0;0,0
ES04_108002;0.79174;40.734138;1;21,1
ES04_108009;0.79174;40.734138;1;21,1
ES04_108010;0.79174;40.734138;1;21,1
ES04_108011;0.79174;40.734138;1;21,1
ES04_108013;0.79174;40.734138;1;21,1
ES04_108015;0.79174;40.734138;1;21,1
ES04_108016;0.79174;40.734138;1;21,1
ES04_108018;0.79174;40.734138;1;21,1
ES04_108019;0.79174;40.734138;1;21,1
FI18_HA70274;22.49918;60.41889;0;0,0
FI18_HA70275;22.49918;60.41889;0;0,0
FI18_HA70232;22.49918;60.41889;0;0,0
FI18_HA70233;22.49918;60.41889;0;0,0
FI18_HA70214;22.49918;60.41889;0;0,0
FI18_HA70205;22.49918;60.41889;0;0,0
FI18_HA70206;22.49918;60.41889;0;0,0
FI18_HA70217;22.49918;60.41889;0;0,0
FI18_HA70219;22.49918;60.41889;0;0,0
FI18_HA70244;24.70126;60.14174;0;0,0
FI18_HA70245;24.70126;60.14174;0;0,0
FI18_HA70246;24.70126;60.14174;0;0,0
FI18_HA70234;24.70126;60.14174;0;0,0
FI18_596153H;24.70126;60.14174;0;0,0
FI18_HA70241;24.70126;60.14174;0;0,0
FI18_HA70239;24.70126;60.14174;0;0,0
FI18_HA70240;24.70126;60.14174;0;0,0
FI18_HA70238;24.70126;60.14174;0;0,0
FI18_HA70215;25.69772;60.33569;0;0,0
FI18_HA70216;25.69772;60.33569;0;0,0
FI18_HA70221;25.69772;60.33569;0;0,0
FI18_HA70220_c;25.69772;60.33569;0;0,0
FI18_HA70228;25.69772;60.33569;0;0,0
FI18_HA70222;25.69772;60.33569;0;0,0
FI18_HA70223;25.69772;60.33569;0;0,0
FI18_HA70204;25.69772;60.33569;0;0,0
FI18_HA70201;25.69772;60.33569;0;0,0
FI18_HA70208;25.69772;60.33569;0;0,0
FR04_109006_c;-4.352747;47.897121;0;0,0
FR04_109007;-4.352747;47.897121;0;0,0
FR04_109010;-4.352747;47.897121;0;0,0
FR04_109011;-4.352747;47.897121;0;0,0
FR04_109014;-4.352747;47.897121;0;0,0
FR04_109015;-4.352747;47.897121;0;0,0
FR04_109016;-4.352747;47.897121;0;0,0
FR04_109017;-4.352747;47.897121;0;0,0
FR04_109018;-4.352747;47.897121;0;0,0
HR05_13;17.44803;43.05231;0;0
HR05_15;17.44803;43.05231;0;0
HR05_22;17.44803;43.05231;0;0
HR05_25;17.44803;43.05231;0;0
HR05_29;17.44803;43.05231;0;0
HR05_39;17.44803;43.05231;0;0
HR05_46;17.44803;43.05231;0;0
HR05_47;17.44803;43.05231;0;0
IT17_10;15.87284;41.55914;0;0,0
IT17_13;15.87284;41.55914;0;0,0
IT17_14;15.87284;41.55914;0;0,0
IT17_18;15.87284;41.55914;0;0,0
IT17_2;15.87284;41.55914;0;0,0
IT17_21;15.87284;41.55914;0;0,0
IT17_3;15.87284;41.55914;0;0,0
IT17_6_c;15.87284;41.55914;0;0,0
IT17_7;15.87284;41.55914;0;0,0
IT17_8;15.87284;41.55914;0;0,0
LT03_107020;21.23441;55.35071;0;0,0
LT03_107021;21.23441;55.35071;0;0,0
LT03_107022;21.23441;55.35071;0;0,0
LT03_107025;21.23441;55.35071;0;0,0
LT03_107028;21.23441;55.35071;0;0,0
LT03_107029;21.23441;55.35071;0;0,0
LT03_107032;21.23441;55.35071;0;0,0
LT03_107037;21.23441;55.35071;0;0,0
LT03_107038;21.23441;55.35071;0;0,0
LT03_107040;21.23441;55.35071;0;0,0
MT14_230245;14.37541;35.93749;0;0,0
MT14_278765;14.37541;35.93749;0;0,0
MT14_286527;14.37541;35.93749;0;0,0
MT14_286586;14.37541;35.93749;0;0,0
MT14_286610;14.37541;35.93749;0;0,0
MT14_286622;14.37541;35.93749;0;0,0
MT14_286623;14.37541;35.93749;0;0,0
MT14_286624;14.37541;35.93749;0;0,0
NO02_101003;11.45907;59.73894;0;0,0
NO02_101005;11.45907;59.73894;0;0,0
NO02_101006;11.45907;59.73894;0;0,0
NO02_101007;11.45907;59.73894;0;0,0
NO02_101008;11.45907;59.73894;0;0,0
NO02_101009;11.45907;59.73894;0;0,0
NO02_101012;11.45907;59.73894;0;0,0
NO02_101013;11.45907;59.73894;0;0,0
NO02_101014;11.45907;59.73894;0;0,0
NO02_101015;11.45907;59.73894;0;0,0
PL03_105017;17.314939;51.534002;1;14,3
PL03_105021;17.314939;51.534002;1;14,3
PL03_105024;17.314939;51.534002;1;14,3
PL03_105025;17.314939;51.534002;1;14,3
PL03_105033;17.314939;51.534002;1;14,3
PL03_105034;17.314939;51.534002;1;14,3
PL03_105036;17.314939;51.534002;1;14,3
PL06_117001;17.314939;51.534002;1;14,3
PL06_117029;17.314939;51.534002;1;14,3
PL06_117031;17.314939;51.534002;1;14,3
PL06_117083;17.314939;51.534002;1;14,3
PL06_117087;17.314939;51.534002;1;14,3
RO03_TR104004;23.899431;46.966139;0;0,0
RO03_TR104007;23.899431;46.966139;0;0,0
RO03_TR104013;23.899431;46.966139;0;0,0
RO03_TR104016;23.899431;46.966139;0;0,0
RO03_TR104017;23.899431;46.966139;0;0,0
RO03_TR104036;23.899431;46.966139;0;0,0
RO03_TR104041;23.899431;46.966139;0;0,0
RO03_TR104042;23.899431;46.966139;0;0,0
RO04_DD111003;28.872278;44.632193;1;5,8
RO04_DD111004;28.872278;44.632193;1;5,8
RO04_DD111005;28.872278;44.632193;1;5,8
RO04_DD111006;28.872278;44.632193;1;5,8
RO04_DD111012;28.872278;44.632193;1;5,8
RO04_DD111014;28.872278;44.632193;1;5,8
RO04_DD111032;28.872278;44.632193;1;5,8
SK05_11;17.58332;48.37091;0;0
SK05_12;17.58332;48.37091;0;0
SK05_13;17.58332;48.37091;0;0
SK05_16;17.58332;48.37091;0;0
SK05_2;17.58332;48.37091;0;0
SK05_6;17.58332;48.37091;0;0
SK05_7;17.58332;48.37091;0;0
SK05_8;17.58332;48.37091;0;0
SK05_9;17.58332;48.37091;0;0
TR05_13_c;32.79434;39.76333;0;0
TR05_14;32.79434;39.76333;0;0
TR05_17;32.79434;39.76333;0;0
TR05_26;32.79434;39.76333;0;0
TR05_27;32.79434;39.76333;0;0
TR05_34;32.79434;39.76333;0;0
TR05_36;32.79434;39.76333;0;0
TR05_41;32.79434;39.76333;0;0
